voter_name,affiliation,first_fwd,first_fwd_2,first_cen,first_g,first_g_2,second_fwd,second_fwd_2,second_cen,second_g,second_g_2,year,award
John Schuhmann,NBA.com,"Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","VanVleet, Fred (TOR)","Antetokounmpo, Giannis (MIL)","Williams III, Robert (BOS)","Adebayo, Bam (MIA)","Holiday, Jrue (MIL)","Thybulle, Matisse (PHI)",2022,All-Defense
Josh Robbins,The Athletic,"Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Lowry, Kyle (MIA)",2022,All-Defense
Justin Termine,Sirius Radio,"Jackson Jr., Jaren (MEM)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Williams III, Robert (BOS)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Holiday, Jrue (MIL)",2022,All-Defense
K.C. Johnson,NBC Sports Chicago,"Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)","Williams III, Robert (BOS)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Thybulle, Matisse (PHI)","VanVleet, Fred (TOR)",2022,All-Defense
Keith Pompey,Philadelphia Inquirer,"Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)","Jackson Jr., Jaren (MEM)","Williams III, Robert (BOS)","VanVleet, Fred (TOR)","Holiday, Jrue (MIL)",2022,All-Defense
Kelly Iko,The Athletic,"Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Williams III, Robert (BOS)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","Murray, Dejounte (SAS)",2022,All-Defense
Kendrick Perkins,ESPN,"Antetokounmpo, Giannis (MIL)","Jackson Jr., Jaren (MEM)","Adebayo, Bam (MIA)","Bridges, Mikal (PHX)","Smart, Marcus (BOS)","Durant, Kevin (BKN)","Thybulle, Matisse (PHI)","Embiid, Joel (PHI)","Beverley, Patrick (MIN)","Caruso, Alex (CHI)",2022,All-Defense
Kevin Arnovitz,ESPN,"Antetokounmpo, Giannis (MIL)","Bridges, Mikal (PHX)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Smart, Marcus (BOS)","Jackson Jr., Jaren (MEM)","Finney-Smith, Dorian (DAL)","Adebayo, Bam (MIA)","Thybulle, Matisse (PHI)","VanVleet, Fred (TOR)",2022,All-Defense
Kevin Harlan,Turner,"Bridges, Mikal (PHX)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)","Jackson Jr., Jaren (MEM)","Thybulle, Matisse (PHI)","Mobley, Evan (CLE)","Lowry, Kyle (MIA)","Paul, Chris (PHX)",2022,All-Defense
Kevin O'Connor,The Ringer,"Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Bridges, Mikal (PHX)","Smart, Marcus (BOS)","Williams III, Robert (BOS)","Jackson Jr., Jaren (MEM)","Embiid, Joel (PHI)","VanVleet, Fred (TOR)","Murray, Dejounte (SAS)",2022,All-Defense
Kevin Pelton,ESPN,"Horford, Al (BOS)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Thybulle, Matisse (PHI)","Green, Draymond (GSW)","Jones, Herbert (NOP)","Adebayo, Bam (MIA)","Caruso, Alex (CHI)","Bridges, Mikal (PHX)",2022,All-Defense
Khobi Price,Orlando Sentinel,"Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Williams III, Robert (BOS)","Jackson Jr., Jaren (MEM)","Embiid, Joel (PHI)","VanVleet, Fred (TOR)","Thybulle, Matisse (PHI)",2022,All-Defense
Kristian Winfield,New York Daily News,"Adebayo, Bam (MIA)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Bridges, Mikal (PHX)","Smart, Marcus (BOS)","Jones, Herbert (NOP)","Antetokounmpo, Giannis (MIL)","Williams III, Robert (BOS)","VanVleet, Fred (TOR)","Holiday, Jrue (MIL)",2022,All-Defense
Kurt Helin,NBCSports.com,"Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Green, Draymond (GSW)","Jackson Jr., Jaren (MEM)","Williams III, Robert (BOS)","Beverley, Patrick (MIN)","Thybulle, Matisse (PHI)",2022,All-Defense
Lisa Hsu,Tencent,"Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Williams III, Robert (BOS)","Jackson Jr., Jaren (MEM)","Green, Draymond (GSW)","Caruso, Alex (CHI)","Holiday, Jrue (MIL)",2022,All-Defense
Marc Kestecher,ESPN,"Antetokounmpo, Giannis (MIL)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Jones, Herbert (NOP)","Green, Draymond (GSW)","Adebayo, Bam (MIA)","Holiday, Jrue (MIL)","Thybulle, Matisse (PHI)",2022,All-Defense
Mark Jackson,ESPN,"Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Smart, Marcus (BOS)","Jackson Jr., Jaren (MEM)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Murray, Dejounte (SAS)","Barnes, Scottie (TOR)",2022,All-Defense
Mark Medina,NBA.com,"Adebayo, Bam (MIA)","Jackson Jr., Jaren (MEM)","Embiid, Joel (PHI)","Bridges, Mikal (PHX)","Holiday, Jrue (MIL)","Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Thybulle, Matisse (PHI)","Paul, Chris (PHX)",2022,All-Defense
Matt Winer,Turner,"Jackson Jr., Jaren (MEM)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)","Adebayo, Bam (MIA)","Williams III, Robert (BOS)","Holiday, Jrue (MIL)","Murray, Dejounte (SAS)",2022,All-Defense
Melissa Rohlin,Fox Sports,"Jackson Jr., Jaren (MEM)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Bridges, Mikal (PHX)","Smart, Marcus (BOS)","Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Paul, Chris (PHX)",2022,All-Defense
Michael C. Wright,NBA.com,"Antetokounmpo, Giannis (MIL)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Adebayo, Bam (MIA)","Green, Draymond (GSW)","Williams III, Robert (BOS)","Thybulle, Matisse (PHI)","VanVleet, Fred (TOR)",2022,All-Defense
Michael Grange,Rogers Sportsnet,"Antetokounmpo, Giannis (MIL)","Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Smart, Marcus (BOS)","VanVleet, Fred (TOR)","Thybulle, Matisse (PHI)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Lowry, Kyle (MIA)","Paul, Chris (PHX)",2022,All-Defense
Michael Pina,Sports Illustrated,"Jackson Jr., Jaren (MEM)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Mobley, Evan (CLE)","Antetokounmpo, Giannis (MIL)","Williams III, Robert (BOS)","Thybulle, Matisse (PHI)","Payton II, Gary (GSW)",2022,All-Defense
Michael Wilbon,ESPN,"Antetokounmpo, Giannis (MIL)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Adebayo, Bam (MIA)","Finney-Smith, Dorian (DAL)","Williams III, Robert (BOS)","Holiday, Jrue (MIL)","Thybulle, Matisse (PHI)",2022,All-Defense
